date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:33	73980/73980	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202015%2004:43:20%20GMT	http://demos.zozotheme.com/construction/assets/img/testimonial-bg.jpg	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/testimonial-bg.jpg	(from http://demos.zozotheme.com/construction/assets/css/main.css)
15:38:34	14881/14881	---M--	200	added ('OK')	image/gif	date:Mon,%2001%20Feb%202016%2011:03:10%20GMT	http://demos.zozotheme.com/construction/assets/img/loader.gif	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/loader.gif	(from http://demos.zozotheme.com/construction/assets/css/main.css)
15:38:34	27174/27174	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Dec%202015%2018:20:37%20GMT	http://demos.zozotheme.com/construction/assets/img/footer.jpg	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/footer.jpg	(from http://demos.zozotheme.com/construction/assets/css/main.css)
15:38:44	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2002%20Nov%202015%2020:38:25%20GMT	http://demos.zozotheme.com/construction/assets/fonts/fontawesome-webfont.eot?v=4.4.0	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/fonts/fontawesome-webfont93e3.eot	(from http://demos.zozotheme.com/construction/assets/css/font-awesome.min.css)
15:38:45	64464/64464	---M--	200	added ('OK')	font/woff2	date:Mon,%2002%20Nov%202015%2020:38:25%20GMT	http://demos.zozotheme.com/construction/assets/fonts/fontawesome-webfont.woff2?v=4.4.0	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/fonts/fontawesome-webfont93e3.woff2	(from http://demos.zozotheme.com/construction/assets/css/font-awesome.min.css)
15:38:45	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2002%20Nov%202015%2020:38:25%20GMT	http://demos.zozotheme.com/construction/assets/fonts/fontawesome-webfont.eot?	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/fonts/fontawesome-webfontd41d.eot	(from http://demos.zozotheme.com/construction/assets/css/font-awesome.min.css)
15:38:47	355981/355981	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Nov%202015%2020:38:06%20GMT	http://demos.zozotheme.com/construction/assets/fonts/fontawesome-webfont.svg?v=4.4.0	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/fonts/fontawesome-webfont93e3.svg	(from http://demos.zozotheme.com/construction/assets/css/font-awesome.min.css)
15:38:49	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Jun%202020%2020:38:48%20GMT	http://demos.zozotheme.com/construction/assets/css/grabbing.png	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/css/grabbing.png	(from http://demos.zozotheme.com/construction/assets/css/owl.carousel.css)
15:38:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Jun%202020%2020:38:50%20GMT	http://demos.zozotheme.com/construction/assets/css/AjaxLoader.gif	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/css/AjaxLoader.gif	(from http://demos.zozotheme.com/construction/assets/css/owl.theme.default.min.css)
15:38:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Jun%202020%2020:38:50%20GMT	http://demos.zozotheme.com/construction/assets/img/progress-bg.png	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/progress-bg.png	(from http://demos.zozotheme.com/construction/assets/css/global.css)
15:38:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Jun%202020%2020:38:51%20GMT	http://demos.zozotheme.com/construction/assets/img/breadcrumb-bg.jpg	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/breadcrumb-bg.jpg	(from http://demos.zozotheme.com/construction/assets/css/global.css)
15:38:51	1780/1780	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Jan%202016%2017:59:33%20GMT	http://demos.zozotheme.com/construction/assets/img/brick.png	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/brick.png	(from http://demos.zozotheme.com/construction/assets/css/global.css)
15:38:57	81284/81284	---M--	200	added ('OK')	font/woff	date:Mon,%2002%20Nov%202015%2020:38:18%20GMT	http://demos.zozotheme.com/construction/assets/fonts/fontawesome-webfont.woff?v=4.4.0	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/fonts/fontawesome-webfont93e3.woff	(from http://demos.zozotheme.com/construction/assets/css/font-awesome.min.css)
15:39:02	138204/138204	---M--	200	added ('OK')	font/ttf	date:Mon,%2002%20Nov%202015%2020:38:13%20GMT	http://demos.zozotheme.com/construction/assets/fonts/fontawesome-webfont.ttf?v=4.4.0	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/fonts/fontawesome-webfont93e3.ttf	(from http://demos.zozotheme.com/construction/assets/css/font-awesome.min.css)
15:39:03	368952/368952	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Nov%202015%2010:18:07%20GMT	http://demos.zozotheme.com/construction/assets/img/abt-2.jpg	D:/My%20Web%20Sites/construction_lp/demos.zozotheme.com/construction/assets/img/abt-2.jpg	(from http://demos.zozotheme.com/construction/assets/css/main.css)
